School Name,Area Type,Gender,Caste,Standard,Age,Year,District,Dropout Status,Dropout Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
Mount Litera Zee School,Rural,Female,SC,5,10,2019,Udupi,Dropout,Family Issues,Primary,25000,52.757,55.93,33.5,4.17
Delhi Public School,Rural,Male,OBC,1,6,2019,Tumakuru,Dropout,Child Labour,Primary,50000,52.757,79.65,37.3,7.5
National Public School,Urban,Male,General,10,15,2019,Bengaluru Urban,Enrolled,Not applicable,Primary,50000,67.74,90.125,37.1,2.88
Delhi Public School,Rural,Male,General,8,13,2018,Udupi,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,30.0,9.15
PES Public School,Urban,Female,OBC,6,11,2019,Dharwad,Dropout,Bullying,No Schooling,25000,52.757,72.63,29.5,0.86
Delhi Public School,Urban,Female,ST,2,7,2023,Udupi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,23.2,0.29
Jain International School,Semi-Urban,Male,General,1,6,2018,Shivamogga,Dropout,Long distance to school,Primary,25000,52.757,79.65,31.0,0.18
Jain International School,Rural,Female,General,8,13,2018,Belagavi,Dropout,Financial hardship,Primary,15000,52.757,79.65,23.0,1.74
Jain International School,Urban,Male,General,8,13,2024,Tumakuru,Enrolled,Not applicable,Secondary,50000,67.74,90.125,43.0,2.66
Maharishi Public School,Urban,Female,ST,3,8,2020,Shivamogga,Dropout,Child Labour,Higher Secondary,10000,52.757,79.65,49.0,1.31
Jain International School,Urban,Female,ST,8,13,2018,Mysuru,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,49.1,2.19
Maharishi Public School,Rural,Male,OBC,9,14,2020,Belagavi,Enrolled,Not applicable,Higher Secondary,10000,77.1,90.125,46.0,4.39
Delhi Public School,Rural,Female,ST,4,9,2024,Mysuru,Enrolled,Not applicable,Secondary,10000,83.71,90.125,38.0,9.31
Sri Taralabalu Central School,Rural,Female,ST,3,8,2024,Bengaluru Rural,Dropout,Migration,No Schooling,50000,44.77,67.48,41.0,5.9
Freedom International School,Semi-Urban,Female,ST,8,13,2020,Dakshina Kannada,Dropout,Financial hardship,Graduate,50000,47.84,79.65,28.6,1.6
Delhi Public School,Urban,Female,ST,7,12,2021,Dakshina Kannada,Enrolled,Not applicable,Graduate,10000,67.74,90.125,38.9,2.73
New Oxford School,Semi-Urban,Male,SC,6,11,2024,Ballari,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,33.7,2.43
Mount Litera Zee School,Rural,Female,General,9,14,2022,Udupi,Dropout,Lack of interest,Primary,10000,52.757,79.65,34.5,9.9
Jain International School,Semi-Urban,Male,ST,3,8,2019,Shivamogga,Enrolled,Not applicable,Higher Secondary,10000,74.81,90.125,42.7,2.11
Maharishi Public School,Semi-Urban,Male,General,2,7,2023,Bengaluru Rural,Enrolled,Not applicable,Higher Secondary,15000,67.74,91.08,28.5,1.76
Jain International School,Semi-Urban,Male,ST,5,10,2024,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,90.125,29.5,2.73
Delhi Public School,Semi-Urban,Female,ST,8,13,2021,Tumakuru,Dropout,Other,Primary,25000,52.757,79.65,47.7,0.46
National Public School,Rural,Male,SC,7,12,2021,Mysuru,Enrolled,Not applicable,Primary,10000,67.74,90.125,21.7,1.04
Maharishi Public School,Urban,Male,General,6,11,2020,Tumakuru,Enrolled,Not applicable,Secondary,100000,91.34,90.125,34.6,2.65
Maharishi Public School,Urban,Male,ST,3,8,2019,Mysuru,Dropout,Other,Secondary,25000,35.89,70.33,47.4,1.29
Jain International School,Rural,Female,OBC,7,12,2022,Dharwad,Dropout,Bullying,Primary,10000,52.757,79.65,38.3,8.08
Mount Litera Zee School,Rural,Female,ST,7,12,2020,Dakshina Kannada,Enrolled,Not applicable,Secondary,50000,90.35,94.75,36.4,5.59
Mount Litera Zee School,Semi-Urban,Female,SC,2,7,2022,Belagavi,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.16,27.5,0.91
Jain International School,Rural,Female,OBC,2,7,2023,Shivamogga,Enrolled,Not applicable,No Schooling,25000,67.74,94.78,30.3,2.36
Freedom International School,Semi-Urban,Male,OBC,8,13,2024,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,90.22,45.6,2.84
National Public School,Semi-Urban,Male,OBC,8,13,2020,Tumakuru,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,36.8,0.92
Jain International School,Urban,Female,ST,9,14,2019,Dharwad,Enrolled,Not applicable,Graduate,50000,80.59,90.125,35.4,1.44
Freedom International School,Rural,Male,General,8,13,2018,Bengaluru Urban,Dropout,Other,Secondary,10000,26.82,77.2,23.0,5.86
PES Public School,Rural,Male,General,6,11,2024,Udupi,Enrolled,Not applicable,Secondary,15000,83.0,98.31,20.5,1.7
Maharishi Public School,Rural,Male,ST,3,8,2018,Dharwad,Dropout,Financial hardship,No Schooling,60000,38.64,73.03,48.9,1.16
Assisi Central School,Urban,Male,ST,4,9,2024,Tumakuru,Dropout,Family responsibilities,Secondary,50000,52.757,79.65,31.3,2.24
Mount Litera Zee School,Semi-Urban,Female,OBC,4,9,2018,Ballari,Dropout,Family responsibilities,Secondary,50000,52.757,79.65,38.1,2.61
Assisi Central School,Semi-Urban,Female,General,10,15,2023,Belagavi,Dropout,Child Labour,Primary,25000,52.757,79.65,22.4,1.92
Jain International School,Urban,Female,ST,5,10,2022,Dharwad,Enrolled,Not applicable,Primary,100000,67.74,90.125,40.5,2.04
Delhi Public School,Urban,Female,General,8,13,2020,Mysuru,Dropout,Child Labour,Primary,60000,52.757,79.65,48.0,0.47
National Public School,Semi-Urban,Male,General,10,15,2020,Dharwad,Enrolled,Not applicable,No Schooling,10000,90.36,100.0,37.3,2.84
Freedom International School,Urban,Male,General,8,13,2022,Bengaluru Urban,Enrolled,Not applicable,Primary,15000,67.74,90.125,23.8,0.48
Sri Taralabalu Central School,Semi-Urban,Female,OBC,8,13,2022,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,90.125,37.5,2.35
Freedom International School,Urban,Female,SC,7,12,2020,Bengaluru Rural,Dropout,Poverty,Primary,10000,50.07,66.2,43.0,0.87
Freedom International School,Rural,Female,SC,10,15,2022,Udupi,Enrolled,Not applicable,No Schooling,25000,67.74,92.13,32.2,8.05
PES Public School,Semi-Urban,Male,ST,2,7,2021,Mysuru,Enrolled,Not applicable,Graduate,15000,67.74,90.125,46.4,2.19
PES Public School,Urban,Female,SC,4,9,2018,Dharwad,Enrolled,Not applicable,Secondary,25000,67.74,90.125,39.5,2.29
Sri Taralabalu Central School,Urban,Female,ST,3,8,2018,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,47.0,0.74
PES Public School,Urban,Male,ST,1,6,2018,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,15000,87.07,90.125,38.7,1.38
Delhi Public School,Urban,Male,General,1,6,2022,Dakshina Kannada,Dropout,Family Issues,Secondary,15000,52.757,79.65,23.9,1.89
Sri Taralabalu Central School,Rural,Female,General,7,12,2023,Mysuru,Enrolled,Not applicable,No Schooling,25000,70.8,90.125,29.3,6.22
PES Public School,Semi-Urban,Female,ST,8,13,2024,Mysuru,Enrolled,Not applicable,Secondary,50000,67.74,97.79,26.1,0.4
Mount Litera Zee School,Semi-Urban,Male,General,10,15,2019,Bengaluru Rural,Enrolled,Not applicable,Secondary,50000,67.74,90.125,47.3,2.89
Jain International School,Semi-Urban,Female,ST,1,6,2024,Bengaluru Urban,Dropout,Bullying,Higher Secondary,50000,52.757,78.23,42.8,2.68
Delhi Public School,Semi-Urban,Female,OBC,3,8,2021,Bengaluru Rural,Dropout,Health issues,Secondary,25000,52.757,77.27,40.3,0.88
PES Public School,Semi-Urban,Male,OBC,10,15,2021,Shivamogga,Enrolled,Not applicable,No Schooling,60000,67.74,93.3,29.0,2.49
Sri Taralabalu Central School,Urban,Male,SC,2,7,2024,Udupi,Dropout,Family responsibilities,Primary,10000,52.757,79.65,25.5,1.6
New Oxford School,Urban,Female,General,10,15,2020,Dharwad,Enrolled,Not applicable,Primary,50000,67.74,90.125,42.7,1.44
National Public School,Semi-Urban,Male,ST,6,11,2020,Bengaluru Rural,Dropout,Bullying,Secondary,50000,41.24,79.65,34.2,1.01
New Oxford School,Semi-Urban,Male,ST,9,14,2024,Ballari,Dropout,Child Labour,Secondary,50000,52.757,73.22,26.8,1.78
Freedom International School,Semi-Urban,Female,OBC,3,8,2020,Belagavi,Enrolled,Not applicable,Primary,10000,73.23,100.0,38.5,2.22
Maharishi Public School,Semi-Urban,Female,SC,2,7,2022,Dharwad,Dropout,Other,Post-Graduate,10000,52.757,79.65,21.2,1.29
PES Public School,Semi-Urban,Female,ST,2,7,2023,Dharwad,Dropout,Family responsibilities,Secondary,60000,52.757,79.65,29.8,1.92
Assisi Central School,Rural,Male,OBC,1,6,2018,Bengaluru Urban,Dropout,Migration,Primary,10000,52.757,79.65,34.1,4.35
New Oxford School,Rural,Male,ST,3,8,2020,Udupi,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,24.4,3.29
Jain International School,Semi-Urban,Male,ST,8,13,2023,Ballari,Dropout,Child Labour,Primary,60000,52.757,79.65,49.5,0.25
Freedom International School,Rural,Male,ST,10,15,2021,Bengaluru Urban,Dropout,Bullying,Primary,50000,52.757,77.65,26.3,4.67
Maharishi Public School,Rural,Female,General,4,9,2021,Bengaluru Urban,Enrolled,Not applicable,Primary,60000,67.74,92.21,23.9,9.88
Sri Taralabalu Central School,Urban,Female,OBC,10,15,2024,Dakshina Kannada,Dropout,Migration,Primary,25000,52.757,74.5,26.1,0.86
PES Public School,Rural,Female,General,2,7,2023,Belagavi,Dropout,Other,Primary,15000,50.29,79.65,43.1,2.28
Sri Taralabalu Central School,Urban,Male,OBC,4,9,2022,Bengaluru Urban,Enrolled,Not applicable,Primary,50000,71.16,98.71,32.8,1.5
Sri Taralabalu Central School,Urban,Male,ST,10,15,2018,Ballari,Dropout,Bullying,Graduate,60000,52.757,79.65,37.0,2.67
Jain International School,Semi-Urban,Male,General,1,6,2024,Mysuru,Dropout,Family Issues,No Schooling,60000,50.26,79.65,20.6,1.2
PES Public School,Urban,Female,SC,4,9,2020,Udupi,Enrolled,Not applicable,Secondary,15000,79.82,90.125,21.0,2.27
Delhi Public School,Semi-Urban,Female,SC,8,13,2021,Bengaluru Rural,Enrolled,Not applicable,Secondary,15000,81.29,90.125,33.4,0.38
National Public School,Urban,Female,SC,6,11,2019,Belagavi,Enrolled,Not applicable,Post-Graduate,50000,67.74,97.5,44.5,1.48
Maharishi Public School,Urban,Male,OBC,10,15,2019,Mysuru,Enrolled,Not applicable,No Schooling,25000,67.74,92.79,46.6,2.98
Assisi Central School,Semi-Urban,Male,ST,9,14,2023,Udupi,Enrolled,Not applicable,Primary,50000,75.11,90.125,22.6,2.33
Freedom International School,Urban,Male,ST,1,6,2022,Dharwad,Enrolled,Not applicable,Post-Graduate,25000,67.74,90.125,36.2,0.71
Maharishi Public School,Urban,Female,General,5,10,2023,Ballari,Dropout,Lack of interest,Graduate,10000,52.757,64.74,47.4,1.55
Assisi Central School,Semi-Urban,Male,OBC,3,8,2023,Bengaluru Urban,Dropout,Family Issues,Higher Secondary,50000,30.45,74.29,31.6,0.78
National Public School,Rural,Female,OBC,7,12,2021,Dharwad,Dropout,Family responsibilities,Primary,100000,52.757,79.65,44.9,2.89
Mount Litera Zee School,Urban,Male,General,5,10,2022,Udupi,Dropout,Poverty,Primary,10000,41.83,72.2,24.0,2.36
Assisi Central School,Rural,Female,ST,8,13,2022,Dakshina Kannada,Dropout,Financial hardship,Higher Secondary,15000,52.757,79.65,48.1,9.73
Sri Taralabalu Central School,Semi-Urban,Female,SC,6,11,2022,Dharwad,Dropout,Poverty,Graduate,25000,52.757,79.65,42.5,0.76
PES Public School,Urban,Male,SC,2,7,2022,Udupi,Dropout,Other,Secondary,60000,45.69,72.45,48.2,2.77
National Public School,Rural,Female,SC,10,15,2018,Belagavi,Enrolled,Not applicable,Secondary,60000,67.74,90.125,40.3,8.09
Assisi Central School,Rural,Female,ST,4,9,2018,Ballari,Enrolled,Not applicable,Primary,10000,70.29,94.38,30.9,3.67
Delhi Public School,Semi-Urban,Male,OBC,6,11,2022,Udupi,Dropout,Financial hardship,Higher Secondary,10000,52.757,79.65,48.1,1.56
Mount Litera Zee School,Semi-Urban,Male,General,8,13,2019,Tumakuru,Enrolled,Not applicable,Primary,15000,68.77,100.0,28.3,1.85
Assisi Central School,Urban,Male,SC,10,15,2019,Belagavi,Enrolled,Not applicable,Primary,25000,89.65,90.125,30.0,1.72
New Oxford School,Semi-Urban,Female,OBC,6,11,2022,Mysuru,Dropout,Family Issues,Secondary,10000,36.54,79.65,41.0,1.51
New Oxford School,Urban,Female,OBC,8,13,2018,Udupi,Dropout,Lack of interest,Secondary,50000,52.757,79.65,43.0,1.56
Freedom International School,Urban,Female,General,9,14,2024,Shivamogga,Dropout,Migration,Primary,25000,52.757,79.65,47.9,0.61
Jain International School,Semi-Urban,Female,General,6,11,2023,Ballari,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,26.1,2.46
Sri Taralabalu Central School,Urban,Male,General,2,7,2024,Dakshina Kannada,Dropout,Other,Secondary,25000,40.05,77.67,43.9,1.67
Jain International School,Rural,Female,OBC,3,8,2023,Belagavi,Dropout,Family responsibilities,Primary,25000,52.757,79.65,42.2,3.19
Assisi Central School,Urban,Female,SC,7,12,2019,Ballari,Enrolled,Not applicable,Secondary,25000,73.82,90.125,21.9,2.32
Jain International School,Semi-Urban,Female,SC,7,12,2019,Belagavi,Enrolled,Not applicable,Primary,100000,67.74,91.03,31.6,2.8
New Oxford School,Urban,Female,General,6,11,2018,Tumakuru,Enrolled,Not applicable,Secondary,10000,82.67,90.125,28.5,2.85
Delhi Public School,Urban,Female,SC,5,10,2020,Dharwad,Dropout,Other,Secondary,100000,38.23,79.65,29.1,1.17
Sri Taralabalu Central School,Rural,Male,ST,7,12,2020,Mysuru,Enrolled,Not applicable,No Schooling,50000,67.74,95.58,49.5,4.62
Assisi Central School,Semi-Urban,Female,ST,4,9,2024,Mysuru,Dropout,Migration,Primary,50000,41.21,79.65,39.3,1.6
PES Public School,Semi-Urban,Male,General,7,12,2024,Bengaluru Rural,Dropout,Financial hardship,No Schooling,10000,52.757,79.65,41.5,0.43
National Public School,Rural,Female,ST,3,8,2022,Bengaluru Rural,Enrolled,Not applicable,No Schooling,50000,73.3,90.125,49.3,1.81
Mount Litera Zee School,Semi-Urban,Female,SC,1,6,2018,Dakshina Kannada,Enrolled,Not applicable,Post-Graduate,25000,67.74,90.125,31.3,0.63
New Oxford School,Semi-Urban,Male,SC,9,14,2023,Mysuru,Enrolled,Not applicable,Primary,10000,67.74,96.87,44.1,0.83
National Public School,Semi-Urban,Male,OBC,2,7,2024,Ballari,Enrolled,Not applicable,Higher Secondary,50000,67.74,99.36,33.0,1.28
PES Public School,Rural,Male,SC,8,13,2019,Mysuru,Dropout,Family Issues,Primary,10000,52.757,79.65,46.1,4.62
Freedom International School,Rural,Male,ST,6,11,2023,Mysuru,Dropout,Lack of interest,Higher Secondary,10000,52.757,79.65,25.4,1.46
Mount Litera Zee School,Urban,Male,OBC,5,10,2018,Tumakuru,Dropout,Poverty,Higher Secondary,25000,52.757,75.95,48.4,1.42
Mount Litera Zee School,Semi-Urban,Male,ST,4,9,2020,Udupi,Dropout,Other,Secondary,25000,43.93,79.65,26.6,0.6
Delhi Public School,Semi-Urban,Female,General,1,6,2021,Ballari,Dropout,Family Issues,Secondary,15000,52.757,79.65,29.8,0.87
Assisi Central School,Semi-Urban,Female,General,1,6,2018,Shivamogga,Dropout,Long distance to school,Secondary,10000,52.757,79.65,42.7,1.58
Freedom International School,Urban,Male,SC,4,9,2019,Bengaluru Urban,Dropout,Long distance to school,Primary,25000,33.32,76.22,31.8,0.53
Assisi Central School,Rural,Female,OBC,5,10,2023,Tumakuru,Enrolled,Not applicable,Graduate,100000,67.74,90.125,38.2,8.23
Delhi Public School,Rural,Male,General,4,9,2023,Bengaluru Urban,Dropout,Migration,Higher Secondary,25000,52.44,79.65,33.3,2.38
Delhi Public School,Semi-Urban,Female,General,1,6,2019,Udupi,Dropout,Child Labour,Post-Graduate,10000,52.757,79.65,42.3,2.17
National Public School,Urban,Male,ST,6,11,2024,Dakshina Kannada,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,26.8,2.82
PES Public School,Semi-Urban,Female,SC,9,14,2021,Mysuru,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,21.8,2.75
Jain International School,Rural,Female,SC,10,15,2022,Dharwad,Enrolled,Not applicable,Graduate,25000,67.74,93.81,29.0,8.19
Sri Taralabalu Central School,Semi-Urban,Female,General,3,8,2024,Belagavi,Enrolled,Not applicable,Primary,25000,67.74,92.21,34.2,0.81
Sri Taralabalu Central School,Rural,Female,General,3,8,2020,Ballari,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,25.0,2.71
Jain International School,Urban,Male,SC,4,9,2022,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,25000,67.74,98.55,30.6,0.98
National Public School,Rural,Female,OBC,4,9,2018,Bengaluru Urban,Enrolled,Not applicable,Secondary,10000,70.19,96.7,32.0,1.95
Jain International School,Semi-Urban,Male,General,7,12,2024,Bengaluru Urban,Dropout,Lack of interest,Higher Secondary,25000,42.77,79.65,21.7,2.92
PES Public School,Rural,Male,OBC,6,11,2024,Udupi,Enrolled,Not applicable,No Schooling,10000,69.99,90.125,37.5,2.09
Jain International School,Urban,Female,ST,4,9,2024,Bengaluru Rural,Enrolled,Not applicable,Higher Secondary,100000,67.74,90.54,46.5,0.42
Delhi Public School,Urban,Female,General,1,6,2018,Udupi,Enrolled,Not applicable,Primary,15000,67.74,90.125,24.6,2.85
Maharishi Public School,Rural,Male,OBC,2,7,2018,Dharwad,Enrolled,Not applicable,Primary,10000,67.74,90.125,37.9,4.51
Jain International School,Semi-Urban,Male,General,7,12,2019,Bengaluru Rural,Enrolled,Not applicable,Primary,50000,77.91,90.125,39.9,0.13
Jain International School,Semi-Urban,Male,ST,9,14,2022,Dakshina Kannada,Dropout,Health issues,Higher Secondary,10000,45.28,79.65,32.6,1.38
Freedom International School,Rural,Male,ST,5,10,2020,Bengaluru Rural,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,41.0,5.99
Jain International School,Semi-Urban,Female,ST,6,11,2019,Ballari,Enrolled,Not applicable,Secondary,50000,67.74,100.0,32.3,1.68
Freedom International School,Semi-Urban,Female,General,7,12,2022,Ballari,Enrolled,Not applicable,Primary,25000,71.75,90.125,35.1,1.08
PES Public School,Urban,Female,ST,2,7,2018,Ballari,Enrolled,Not applicable,Graduate,60000,67.74,90.125,20.2,1.47
Maharishi Public School,Urban,Male,OBC,9,14,2024,Belagavi,Dropout,Lack of interest,Primary,50000,51.04,78.72,40.8,1.88
Mount Litera Zee School,Rural,Male,General,3,8,2023,Tumakuru,Enrolled,Not applicable,Higher Secondary,25000,81.34,90.125,39.8,6.86
Maharishi Public School,Rural,Female,ST,10,15,2021,Belagavi,Enrolled,Not applicable,Secondary,50000,86.08,99.19,21.2,8.8
Jain International School,Urban,Male,General,6,11,2023,Ballari,Dropout,Migration,Primary,50000,52.757,60.12,31.0,1.36
Maharishi Public School,Rural,Male,SC,7,12,2023,Bengaluru Rural,Enrolled,Not applicable,Secondary,15000,67.74,97.77,49.4,9.28
National Public School,Rural,Female,OBC,5,10,2023,Tumakuru,Enrolled,Not applicable,Primary,15000,67.74,90.125,32.6,1.85
Mount Litera Zee School,Semi-Urban,Female,ST,6,11,2022,Dharwad,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,35.1,0.45
Maharishi Public School,Urban,Male,ST,7,12,2021,Udupi,Enrolled,Not applicable,Secondary,25000,67.84,90.125,47.3,1.64
National Public School,Urban,Female,General,3,8,2019,Belagavi,Dropout,Family responsibilities,Primary,50000,52.757,79.65,41.5,0.93
Assisi Central School,Rural,Male,General,8,13,2019,Dharwad,Enrolled,Not applicable,Graduate,10000,81.02,90.125,37.5,6.46
Jain International School,Urban,Male,OBC,1,6,2018,Bengaluru Rural,Dropout,Lack of interest,Primary,25000,52.757,73.47,43.9,2.04
Delhi Public School,Urban,Male,SC,5,10,2018,Belagavi,Dropout,Other,Secondary,50000,37.45,79.65,45.9,2.6
Delhi Public School,Urban,Female,OBC,5,10,2021,Udupi,Dropout,Health issues,Graduate,15000,52.757,79.65,33.7,0.57
Freedom International School,Rural,Female,General,8,13,2022,Belagavi,Dropout,Child Labour,Secondary,25000,45.03,75.62,34.3,1.78
National Public School,Semi-Urban,Female,SC,4,9,2018,Dharwad,Enrolled,Not applicable,No Schooling,10000,67.74,90.125,31.6,2.57
National Public School,Urban,Male,OBC,5,10,2023,Mysuru,Dropout,Family responsibilities,Graduate,50000,52.757,74.74,49.0,2.75
Sri Taralabalu Central School,Semi-Urban,Female,General,7,12,2024,Ballari,Dropout,Child Labour,Secondary,25000,52.757,79.65,40.9,0.87
Freedom International School,Semi-Urban,Female,SC,9,14,2022,Dakshina Kannada,Enrolled,Not applicable,Primary,50000,100.0,95.61,22.5,2.72
New Oxford School,Rural,Male,SC,5,10,2023,Belagavi,Dropout,Poverty,No Schooling,100000,52.757,79.65,45.9,4.6
National Public School,Semi-Urban,Male,ST,6,11,2023,Shivamogga,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,34.4,1.7
Mount Litera Zee School,Semi-Urban,Male,General,8,13,2024,Ballari,Dropout,Migration,Secondary,100000,52.757,79.65,22.1,0.25
Maharishi Public School,Urban,Female,General,10,15,2019,Tumakuru,Dropout,Migration,Secondary,10000,52.757,79.65,36.5,0.23
Freedom International School,Semi-Urban,Female,General,1,6,2022,Mysuru,Enrolled,Not applicable,Graduate,25000,67.74,90.125,32.5,2.19
PES Public School,Urban,Male,OBC,10,15,2020,Udupi,Dropout,Child Labour,Higher Secondary,10000,52.757,79.65,46.3,1.39
National Public School,Rural,Male,SC,7,12,2021,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,100.0,26.1,2.08
Delhi Public School,Semi-Urban,Female,ST,7,12,2023,Bengaluru Urban,Enrolled,Not applicable,Primary,15000,67.74,90.125,44.8,0.65
PES Public School,Rural,Male,OBC,1,6,2022,Ballari,Enrolled,Not applicable,Primary,25000,69.99,90.125,36.7,2.41
Maharishi Public School,Urban,Male,ST,4,9,2019,Mysuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,21.6,0.1
Freedom International School,Rural,Female,ST,9,14,2018,Mysuru,Dropout,Health issues,No Schooling,25000,52.757,79.65,49.2,8.58
New Oxford School,Semi-Urban,Male,General,8,13,2021,Mysuru,Enrolled,Not applicable,Secondary,50000,67.74,90.125,35.4,0.33
Mount Litera Zee School,Rural,Female,SC,3,8,2020,Shivamogga,Dropout,Bullying,Higher Secondary,15000,51.63,79.65,28.7,9.83
Sri Taralabalu Central School,Rural,Female,OBC,1,6,2024,Bengaluru Urban,Dropout,Health issues,Graduate,10000,43.5,79.65,34.1,1.88
Assisi Central School,Urban,Female,OBC,9,14,2022,Mysuru,Dropout,Long distance to school,Primary,50000,52.757,79.65,45.7,1.51
PES Public School,Semi-Urban,Female,OBC,8,13,2024,Udupi,Enrolled,Not applicable,Higher Secondary,50000,71.68,90.125,29.1,1.13
Delhi Public School,Rural,Female,ST,7,12,2019,Dharwad,Dropout,Long distance to school,No Schooling,10000,52.757,69.51,25.8,4.15
Assisi Central School,Semi-Urban,Female,ST,10,15,2024,Bengaluru Urban,Enrolled,Not applicable,Higher Secondary,15000,85.12,90.125,23.9,2.9
Jain International School,Urban,Female,General,6,11,2023,Tumakuru,Enrolled,Not applicable,No Schooling,60000,67.74,96.04,28.9,1.96
Assisi Central School,Rural,Male,SC,10,15,2022,Ballari,Enrolled,Not applicable,Primary,100000,70.03,90.125,43.4,5.94
Freedom International School,Urban,Female,OBC,1,6,2024,Dharwad,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,34.1,1.35
Delhi Public School,Urban,Male,SC,10,15,2020,Dakshina Kannada,Dropout,Family Issues,No Schooling,50000,52.757,79.11,26.8,2.64
Mount Litera Zee School,Rural,Female,ST,8,13,2019,Dharwad,Dropout,Financial hardship,Primary,10000,52.757,74.08,25.0,3.3
Freedom International School,Urban,Female,ST,9,14,2024,Mysuru,Dropout,Lack of interest,Higher Secondary,50000,52.757,79.65,30.0,0.37
Freedom International School,Rural,Female,General,3,8,2020,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,50000,67.74,94.14,48.2,8.59
Sri Taralabalu Central School,Semi-Urban,Female,General,7,12,2020,Udupi,Dropout,Family responsibilities,Secondary,15000,52.757,69.54,30.3,1.86
Delhi Public School,Rural,Female,OBC,3,8,2020,Udupi,Enrolled,Not applicable,Higher Secondary,25000,67.74,100.0,49.6,8.44
Jain International School,Semi-Urban,Male,ST,6,11,2023,Dakshina Kannada,Enrolled,Not applicable,Secondary,60000,67.74,90.74,34.6,0.26
Freedom International School,Semi-Urban,Female,ST,1,6,2020,Belagavi,Dropout,Child Labour,Primary,10000,52.757,79.65,25.4,0.51
Assisi Central School,Rural,Male,OBC,10,15,2024,Udupi,Dropout,Family responsibilities,Primary,10000,52.757,71.58,46.7,7.42
Assisi Central School,Rural,Female,SC,10,15,2022,Bengaluru Rural,Dropout,Migration,Primary,10000,52.757,71.34,33.8,2.87
Assisi Central School,Urban,Male,General,3,8,2020,Tumakuru,Dropout,Migration,Graduate,60000,52.757,79.65,41.3,1.56
Assisi Central School,Rural,Male,General,2,7,2020,Bengaluru Urban,Enrolled,Not applicable,Secondary,10000,67.74,90.125,49.5,8.81
Assisi Central School,Urban,Male,OBC,5,10,2024,Shivamogga,Dropout,Family Issues,Secondary,10000,50.1,79.65,21.5,0.92
National Public School,Semi-Urban,Female,ST,10,15,2020,Dakshina Kannada,Dropout,Child Labour,Secondary,25000,52.757,79.65,22.9,2.85
PES Public School,Semi-Urban,Female,General,9,14,2022,Dakshina Kannada,Dropout,Other,Graduate,10000,52.757,79.65,41.6,2.54
Delhi Public School,Rural,Female,ST,3,8,2018,Tumakuru,Enrolled,Not applicable,Primary,25000,67.74,90.125,28.5,2.29
Jain International School,Rural,Female,General,7,12,2021,Bengaluru Rural,Dropout,Lack of interest,Secondary,15000,52.11,79.65,25.5,4.5
Assisi Central School,Rural,Male,OBC,9,14,2019,Udupi,Dropout,Child Labour,Secondary,10000,27.7,75.35,21.2,9.57
Assisi Central School,Urban,Female,OBC,5,10,2020,Udupi,Dropout,Lack of interest,Secondary,10000,52.757,79.65,20.7,1.53
Jain International School,Rural,Female,General,6,11,2024,Dakshina Kannada,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,43.2,8.81
Mount Litera Zee School,Semi-Urban,Female,SC,9,14,2023,Dakshina Kannada,Dropout,Other,Graduate,25000,47.06,79.65,24.0,2.94
Maharishi Public School,Semi-Urban,Female,ST,6,11,2019,Belagavi,Dropout,Family responsibilities,Graduate,15000,52.757,79.65,34.0,0.56
Assisi Central School,Semi-Urban,Male,General,3,8,2018,Udupi,Dropout,Family responsibilities,Secondary,25000,52.757,79.65,38.2,1.51
New Oxford School,Semi-Urban,Male,OBC,9,14,2024,Dakshina Kannada,Dropout,Health issues,Higher Secondary,25000,52.757,79.65,32.9,1.16
PES Public School,Semi-Urban,Male,ST,10,15,2019,Udupi,Enrolled,Not applicable,Graduate,25000,69.26,90.125,20.8,1.95
Jain International School,Rural,Female,General,7,12,2023,Belagavi,Enrolled,Not applicable,Higher Secondary,100000,70.25,90.125,43.5,8.05
